Genres,Performance,Corr
gen_action,perf_five_star,0.12459074180231973
gen_action,perf_four_star,0.11260018984837573
gen_action,perf_one_star,0.24691126315748596
gen_action,perf_rating,-0.09934602439102941
gen_action,perf_three_star,0.15494082572810974
gen_action,perf_two_star,0.216457324617761
gen_adult,perf_five_star,0.015259031204891476
gen_adult,perf_four_star,0.012890153609176714
gen_adult,perf_one_star,0.023181102732933306
gen_adult,perf_rating,-0.013511303376698505
gen_adult,perf_three_star,0.012142085010369461
gen_adult,perf_two_star,0.013045836361543021
gen_adventure,perf_five_star,0.14214903357215095
gen_adventure,perf_four_star,0.13167343905927056
gen_adventure,perf_one_star,0.2234743087264078
gen_adventure,perf_rating,-0.03610264184838582
gen_adventure,perf_three_star,0.16743518384079242
gen_adventure,perf_two_star,0.21073677092841697
gen_comedy,perf_five_star,0.10442292369410253
gen_comedy,perf_four_star,0.10618393095047632
gen_comedy,perf_one_star,0.008243048072357151
gen_comedy,perf_rating,0.17671543877293253
gen_comedy,perf_three_star,0.0791403021848381
gen_comedy,perf_two_star,0.04660882505033921
gen_drama,perf_five_star,0.07540158118536894
gen_drama,perf_four_star,0.06289220607626443
gen_drama,perf_one_star,0.04238897200486113
gen_drama,perf_rating,0.09556116750927418
gen_drama,perf_three_star,0.05968025544084983
gen_drama,perf_two_star,0.04305039043687693
gen_ecchi,perf_five_star,0.07759708735348207
gen_ecchi,perf_four_star,0.09420001895668956
gen_ecchi,perf_one_star,0.19985848607375445
gen_ecchi,perf_rating,-0.055138874449488215
gen_ecchi,perf_three_star,0.11689791618075428
gen_ecchi,perf_two_star,0.17272671969076242
gen_fantasy,perf_five_star,0.03914618890937626
gen_fantasy,perf_four_star,0.04832047493031519
gen_fantasy,perf_one_star,0.08977319403892722
gen_fantasy,perf_rating,-0.07281889598233411
gen_fantasy,perf_three_star,0.07107913494567321
gen_fantasy,perf_two_star,0.09026464380362698
gen_gender_bender,perf_five_star,0.02411213356444398
gen_gender_bender,perf_four_star,0.0111321351189855
gen_gender_bender,perf_one_star,0.01093588732300034
gen_gender_bender,perf_rating,0.024406232867612426
gen_gender_bender,perf_three_star,0.011660562607093552
gen_gender_bender,perf_two_star,0.009239679078145383
gen_harem,perf_five_star,0.08302931162746535
gen_harem,perf_four_star,0.10688501589889612
gen_harem,perf_one_star,0.29119668459817183
gen_harem,perf_rating,-0.15277575668704216
gen_harem,perf_three_star,0.1604356045315457
gen_harem,perf_two_star,0.23946844590176794
gen_historical,perf_five_star,0.00457207261310057
gen_historical,perf_four_star,-0.006063082056120505
gen_historical,perf_one_star,-0.03909019343187819
gen_historical,perf_rating,0.06857276012304571
gen_historical,perf_three_star,-0.01997717659796961
gen_historical,perf_two_star,-0.036036685666941355
gen_horror,perf_five_star,0.0019192529274358265
gen_horror,perf_four_star,-0.02079859712293144
gen_horror,perf_one_star,-0.025810417815963858
gen_horror,perf_rating,0.04329811764090668
gen_horror,perf_three_star,-0.02640609595850383
gen_horror,perf_two_star,-0.02747415350189217
gen_josei,perf_five_star,0.029332900425178457
gen_josei,perf_four_star,0.03570584580680784
gen_josei,perf_one_star,-0.0009444046497506686
gen_josei,perf_rating,-0.04155115043699896
gen_josei,perf_three_star,0.019526362975163813
gen_josei,perf_two_star,0.0019381928538314257
gen_martial_arts,perf_five_star,0.09922977103721098
gen_martial_arts,perf_four_star,0.11631323727641087
gen_martial_arts,perf_one_star,0.2354978444799003
gen_martial_arts,perf_rating,-0.1004947143689372
gen_martial_arts,perf_three_star,0.16079071770985903
gen_martial_arts,perf_two_star,0.21338527659987278
gen_mature,perf_five_star,0.1494471852186202
gen_mature,perf_four_star,0.15386697108689026
gen_mature,perf_one_star,0.2086398961409339
gen_mature,perf_rating,0.03361078618194816
gen_mature,perf_three_star,0.16385306913586187
gen_mature,perf_two_star,0.19248390375135732
gen_mecha,perf_five_star,0.01938229764765566
gen_mecha,perf_four_star,0.024338246980868946
gen_mecha,perf_one_star,0.003397533568048649
gen_mecha,perf_rating,0.030797748694682627
gen_mecha,perf_three_star,0.024288258663648726
gen_mecha,perf_two_star,0.018564954396881637
gen_mystery,perf_five_star,0.06436417194947959
gen_mystery,perf_four_star,0.022048953771762424
gen_mystery,perf_one_star,0.02443140258833409
gen_mystery,perf_rating,0.05507061408328723
gen_mystery,perf_three_star,0.01132928290581313
gen_mystery,perf_two_star,0.014482022330249238
gen_psychological,perf_five_star,0.042471323983339256
gen_psychological,perf_four_star,0.006036488341543094
gen_psychological,perf_one_star,0.004844136475600037
gen_psychological,perf_rating,0.09535291677851566
gen_psychological,perf_three_star,-0.004260889460389487
gen_psychological,perf_two_star,-0.009372232601682816
gen_romance,perf_five_star,0.01524857127777493
gen_romance,perf_four_star,0.004418302697302611
gen_romance,perf_one_star,-0.140452125791391
gen_romance,perf_rating,0.18772019603922677
gen_romance,perf_three_star,-0.03537126326294638
gen_romance,perf_two_star,-0.09429771624036523
gen_school_life,perf_five_star,-0.0067957666393720535
gen_school_life,perf_four_star,-0.0005557909589671366
gen_school_life,perf_one_star,-0.013067654541877955
gen_school_life,perf_rating,0.05803276214503249
gen_school_life,perf_three_star,-0.006075116848181919
gen_school_life,perf_two_star,-0.014423811386780495
gen_sci_fi,perf_five_star,0.05208580507082348
gen_sci_fi,perf_four_star,0.04016012291543069
gen_sci_fi,perf_one_star,0.06950653627983133
gen_sci_fi,perf_rating,0.0089407098118962
gen_sci_fi,perf_three_star,0.049848561486708534
gen_sci_fi,perf_two_star,0.06709202920107715
gen_seinen,perf_five_star,0.1312299278170801
gen_seinen,perf_four_star,0.1476708555316782
gen_seinen,perf_one_star,0.17182183048929095
gen_seinen,perf_rating,-0.016480321329948918
gen_seinen,perf_three_star,0.16092797955376476
gen_seinen,perf_two_star,0.17792630362474782
gen_shoujo,perf_five_star,-0.0330521399716219
gen_shoujo,perf_four_star,-0.0324669554840541
gen_shoujo,perf_one_star,-0.0426485686532336
gen_shoujo,perf_rating,0.025089758510920004
gen_shoujo,perf_three_star,-0.03646379102888016
gen_shoujo,perf_two_star,-0.03495450033879449
gen_shoujo_ai,perf_five_star,-0.011509090680850034
gen_shoujo_ai,perf_four_star,-0.017569600913114634
gen_shoujo_ai,perf_one_star,0.001930376883005074
gen_shoujo_ai,perf_rating,0.0025509198702019058
gen_shoujo_ai,perf_three_star,-0.013371468835368135
gen_shoujo_ai,perf_two_star,-0.005968696527528841
gen_shounen,perf_five_star,0.023142377403362623
gen_shounen,perf_four_star,0.039996856093573105
gen_shounen,perf_one_star,0.08898945656274888
gen_shounen,perf_rating,-0.07144642689697041
gen_shounen,perf_three_star,0.05565417646922128
gen_shounen,perf_two_star,0.07185279931221057
gen_shounen_ai,perf_five_star,0.0324197544594087
gen_shounen_ai,perf_four_star,0.03069496853088823
gen_shounen_ai,perf_one_star,-0.09404763258994756
gen_shounen_ai,perf_rating,0.22260304791583577
gen_shounen_ai,perf_three_star,-0.007522142690478654
gen_shounen_ai,perf_two_star,-0.050487834948655656
gen_slice_of_life,perf_five_star,0.0331188690133736
gen_slice_of_life,perf_four_star,0.040237743772438266
gen_slice_of_life,perf_one_star,-0.04238159348865432
